sampleSize,rateMale,rateFemale,medianAge,medianIncome,rentShareOfIncome,degreeRate,rateNeverMarried,Boba_shop_cnt,university_college_count,log_median
24374,49.4,50.6,33.4,55897,36.8,9.2,53.3,0,0,10.931265990440082
25946,50.7,49.3,30.2,49120,35.6,6.2,54.2,0,0,10.802021562821023
15042,47,53,46.2,80165,32.4,25.9,58.5,0,0,11.291842289622938
7111,54,46,37.2,82681,30.6,59.8,70.5,0,1,11.322745108545979
11882,48.2,51.8,48.6,154583,23.3,56.3,48.1,0,0,11.948486447899116
23902,47.7,52.3,41.3,107420,24.8,61.9,58.7,1,2,11.58450166345945
22929,50.1,49.9,37.4,78542,28.2,40.6,61.6,0,0,11.271388792539128
28156,51,49,40.2,95674,28.2,53.9,62.6,1,2,11.468701858188066
41975,49.2,50.8,37.7,71712,32.8,24.1,53,0,0,11.180413376600654
17778,50.5,49.5,42.7,73826,28.8,27.7,55,0,0,11.209466252067285
44605,48.4,51.6,41.2,93063,29.4,40.2,50.6,1,0,11.44103196214531
33410,48.3,51.7,41.4,90210,32.1,29.9,53.8,0,0,11.409895564650684
37220,48.6,51.4,41.9,99764,28.6,40.2,48.9,3,0,11.51056267578104
0,0,0,0,0,0,0,0,0,1,-Inf
32053,47.5,52.5,39,76732,30,19.6,54.9,0,1,11.248074110256228
25581,49.7,50.3,33.1,55216,36,12.1,56.9,0,1,10.919008045337785
21584,50.6,49.4,39.6,103535,27.6,22.5,53,0,0,11.547664998774126
42911,48.5,51.5,35.2,74944,32.7,12.3,53.1,0,1,11.224496446957389
40192,50,50,35.2,78297,32,12.1,53.6,0,0,11.268264567068643
32987,50.8,49.2,36.8,74986,33.7,10.3,55.8,0,0,11.22505670842739
49227,48.8,51.2,39.6,95723,34,21.8,54.5,0,0,11.469213882943631
62730,48.5,51.5,36.1,56009,33.6,13.4,55.9,0,0,10.933267671089844
105304,49.9,50.1,34.9,70667,36.3,12.2,54.4,1,1,11.165733981956047
63001,47.7,52.3,37.1,67636,32.3,8.7,56.3,0,0,11.12189566465832
16700,47.9,52.1,37.5,71343,32.4,13.2,54.1,0,0,11.175254510173374
16801,46.9,53.1,38.3,67765,36.8,20.4,53.4,0,0,11.123801116450116
50589,49.5,50.5,45.8,105832,34,38.9,52.9,1,1,11.569608210142215
3979,50.2,49.8,42.3,73287,27.9,16.5,48.6,0,0,11.20213851880335
77195,48.7,51.3,34.6,60011,34.4,11.8,53.9,0,0,11.00228315773407
28045,47.5,52.5,37.8,63907,30.4,18.5,52.2,0,0,11.065184180531768
31217,47.9,52.1,39.3,96634,29.2,22.9,53,0,0,11.478685925148506
28202,50.1,49.9,39.1,102970,28.5,21.6,52.1,0,0,11.542192962650796
20256,47.8,52.2,36.7,76105,34.6,19.1,54.5,0,0,11.239869244713768
14285,50.8,49.2,32.3,50149,40.7,6.3,54.4,0,0,10.822753853011813
21508,49,51,39.8,71388,29.9,25.3,53.7,0,0,11.175885066975907
54513,50.4,49.6,30.9,55670,34.7,6.7,54.8,0,0,10.927196681177554
60659,49.2,50.8,36.9,53456,35.9,15.5,55.4,0,0,10.886614164596537
22780,47.6,52.4,45.6,104567,31.7,30.4,50.3,0,0,11.557583293264585
56880,50.2,49.8,30.6,50875,35.4,5,52.5,0,1,10.837126922744897
56930,49,51,38.7,80176,29.3,18.9,55.1,0,1,11.291979497199506
27075,48.2,51.8,42.9,89364,32.8,24.6,57.7,0,0,11.400473195498646
0,0,0,0,0,0,0,0,0,1,-Inf
11545,45.1,54.9,37.9,75426,34.6,34.3,58,0,0,11.230907322142887
38962,52.6,47.4,36.4,54616,32.5,31.9,67.7,1,1,10.908082159098116
32126,48.5,51.5,45.4,90278,26.8,45.4,61.6,1,0,11.410649077385242
39239,49,51,32,52948,33.8,19,61.7,0,2,10.877065578833662
95995,48.7,51.3,31.2,50914,36.3,8.2,53.5,0,0,10.837893213835454
41990,49.4,50.6,33.1,54437,34.6,11,55.9,0,0,10.904799348707671
32202,50.6,49.4,42.1,78948,31.6,30.7,56.2,0,0,11.276544686873999
39330,49.6,50.4,42.4,110625,25.3,31,50.8,1,1,11.61390138231023
37251,48.5,51.5,34.2,60227,31.4,10.8,57,0,0,11.005876035732005
58380,50.3,49.7,30.1,38449,35,7.5,55.8,0,0,10.55708796679324
19685,46.8,53.2,36.5,73391,29.5,39.8,61.3,0,0,11.20355659128086
41312,48.8,51.2,37.8,94559,28.7,33.2,57.7,0,0,11.456979257287898
133,83.5,16.5,73.1,0,0,29.3,97,0,0,-Inf
0,0,0,0,0,0,0,0,0,0,-Inf
37818,49.2,50.8,44.3,101061,33.1,32.1,53.6,0,0,11.523479573908759
32958,48.4,51.6,44.3,103224,29.8,37.1,49.5,0,0,11.544656663131683
34116,46.9,53.1,44.3,83964,31.5,39,50.2,2,0,11.338143414533898
1084,45,55,53.8,96500,39.8,42.4,51.2,0,0,11.477298287327077
26380,46.6,53.4,40.7,74738,35.1,19.6,56.2,0,1,11.221743943248734
20301,48.4,51.6,45.1,175652,34.9,51.2,48.6,0,0,12.076260043908682
41105,48.6,51.4,40.5,77622,30.2,26.4,53.7,0,1,11.259606171145958
8633,47.6,52.4,41.5,67742,43.7,29.3,54.6,1,0,11.123461650589004
10932,46.4,53.6,49,100988,28.6,46.9,48,0,0,11.522756976883517
25637,49,51,40.1,104432,25.3,47.6,50.8,0,0,11.556291420874999
20049,49.4,50.6,47.3,86594,34.8,26.8,55.1,0,0,11.36898580808561
26966,49.1,50.9,44,64532,39.6,20.2,53.5,1,0,11.074916503786035
158,57.6,42.4,83.2,0,42.8,29.7,57.6,0,0,-Inf
21395,45.2,54.8,34.9,70075,30.2,48.6,60.7,3,1,11.15732137603299
27659,47.5,52.5,38.2,71231,34.6,24.3,57.1,1,2,11.173683395902353
37874,47.4,52.6,40.5,77919,37.5,31.8,53.5,0,1,11.2634251045585
12617,48.5,51.5,47.9,131158,26.7,54.2,50.4,6,1,11.784157982290937
25543,49.8,50.2,34.2,82211,29.4,44.6,60.8,0,1,11.317044392042519
32503,49.1,50.9,42,102850,27.5,42.4,54.2,0,0,11.541026895081103
13375,48.9,51.1,47.4,165765,20.6,57.3,50.1,0,0,12.018326401690992
23281,45.8,54.2,42.4,60101,39.6,24.8,54.9,0,0,11.003781759319981
23345,46.5,53.5,43.8,75703,36.1,35.4,53.4,0,0,11.234573068759179
15410,48.1,51.9,37.5,61071,34.2,28.3,54.1,1,1,11.019792400735156
18723,48.5,51.5,37.6,49122,36.1,20.8,55.5,2,0,10.802062278604502
